DOC. ID    | DOC. PATH                                          
1          | input/A9.xml                                       
2          | input/A90.xml                                      
3          | input/A900.xml                                     
4          | input/A901.xml                                     
5          | input/A902.xml                                     
6          | input/A903.xml                                     
7          | input/A904.xml                                     
8          | input/A905.xml                                     
9          | input/A906.xml                                     
10         | input/A907.xml                                     
11         | input/A908.xml                                     
12         | input/A909.xml                                     
13         | input/A91.xml                                      
14         | input/A910.xml                                     
15         | input/A911.xml                                     
16         | input/A912.xml                                     
17         | input/A913.xml                                     
18         | input/A914.xml                                     
19         | input/A915.xml                                     
20         | input/A916.xml                                     
21         | input/A92.xml                                      
22         | input/A921.xml                                     
23         | input/A922.xml                                     
24         | input/A923.xml                                     
25         | input/A924.xml                                     
26         | input/A926.xml                                     
27         | input/A927.xml                                     
28         | input/A928.xml                                     
29         | input/A929.xml                                     
30         | input/A93.xml                                      
31         | input/A930.xml                                     
32         | input/A94.xml                                      
33         | input/A95.xml                                      
34         | input/A96.xml                                      
35         | input/A97.xml                                      
36         | input/A98.xml                                      
37         | input/Camilo-Amor_de_Perdicao-ospl.txt             
38         | input/teste.txt                                    
39         | input/teste2.txt                                   

TERM                 | DOC. FREQUENCY | POSTING LIST                   
aceitar              | 1              | [37]                           
aceitasse            | 2              | [26, 37]                       
aceitava             | 3              | [17, 31, 37]                   
aceite               | 1              | [37]                           
aceites              | 1              | [33]                           
aceito               | 1              | [37]                           
aceitou              | 3              | [5, 32, 37]                    
aceleradamente       | 1              | [37]                           
acenando             | 1              | [37]                           
acenando-lhe         | 1              | [37]                           
acenar               | 1              | [37]                           
acende-se            | 1              | [11]                           
acendeu              | 1              | [37]                           
aceno                | 1              | [37]                           
acerbamente          | 1              | [37]                           
acercavam            | 1              | [37]                           
acerejou-se          | 1              | [37]                           
acertada             | 1              | [37]                           
acertadamente        | 1              | [20]                           
acertava             | 1              | [37]                           
acertou              | 1              | [37]                           
acertou-lhe          | 1              | [37]                           
acessivel            | 1              | [20]                           
acesso               | 3              | [4, 7, 37]                     
acha                 | 1              | [37]                           
acham                | 1              | [14]                           
achamos              | 1              | [37]                           
achar                | 2              | [2, 37]                        
achar-me-as          | 1              | [37]                           
achara               | 1              | [37]                           
acharas              | 1              | [37]                           
achasse              | 1              | [37]                           
achava               | 1              | [37]                           
achava-os            | 1              | [37]                           
achavam-no           | 1              | [37]                           
achavas              | 1              | [37]                           
achei                | 1              | [37]                           
achei-me             | 1              | [37]                           
achei-o              | 1              | [37]                           
acho                 | 2              | [19, 37]                       
achou                | 1              | [37]                           
achou-o              | 1              | [37]                           
acidente             | 1              | [37]                           
acidentes            | 1              | [18]                           
acido                | 1              | [2]                            
acima                | 2              | [19, 35]                       
acintemente          | 1              | [37]                           
aclamacao            | 1              | [37]                           
aclamacoes           | 1              | [37]                           
aclamou              | 1              | [37]                           
aclarasse            | 1              | [37]                           
aco                  | 1              | [37]                           
acoes                | 1              | [37]                           
acola                | 1              | [37]                           
acolher              | 1              | [14]                           
acolhimento          | 1              | [37]                           
acomodadas           | 1              | [26]                           
acomodei-a           | 1              | [37]                           
acompanhada          | 1              | [37]                           
acompanhadas         | 1              | [37]                           
acompanhado          | 2              | [18, 37]                       
acompanhala          | 1              | [37]                           
acompanhalo          | 1              | [37]                           
acompanhamento       | 1              | [2]                            
acompanhar           | 2              | [2, 37]                        
acompanhara          | 1              | [37]                           
acompanharem         | 1              | [37]                           
acompanhasse         | 1              | [37]                           
acompanhassem        | 1              | [37]                           
acompanhava          | 1              | [37]                           
acompanhei-o         | 1              | [37]                           
acompanhou           | 1              | [37]                           
acondicionar         | 2              | [17, 31]                       
aconselhando-a       | 1              | [37]                           
aconselharam-lhe     | 1              | [37]                           
aconselharem         | 1              | [37]                           
aconselhavam         | 1              | [37]                           
aconselhou           | 1              | [37]                           
aconteca             | 2              | [14, 19]                       
acontece             | 1              | [3]                            
acontecer            | 6              | [2, 17, 19, 21, 31, 37]        
acontecera           | 2              | [8, 37]                        
acontecesse          | 1              | [37]                           
aconteceu            | 4              | [17, 18, 31, 37]               
acontecia            | 1              | [37]                           
acontecido           | 2              | [25, 37]                       
acontecimento        | 1              | [11]                           
acontecimentos       | 3              | [2, 11, 37]                    
acorda               | 1              | [37]                           
acorda-se            | 1              | [11]                           
acordado             | 1              | [33]                           
acordando            | 1              | [37]                           
acordei              | 1              | [37]                           
acordo               | 3              | [2, 35, 36]                    
acordos              | 2              | [6, 33]                        
acordou              | 3              | [17, 31, 37]                   
acoreana             | 1              | [37]                           
acoreano             | 1              | [37]                           
acores               | 2              | [6, 37]                        
acougue              | 1              | [37]                           
acovados             | 1              | [37]                           
acre                 | 1              | [37]                           
acredita             | 2              | [7, 14]                        
acreditam            | 2              | [17, 31]                       
acreditar            | 5              | [1, 2, 7, 13, 19]              
acreditasse          | 2              | [17, 31]                       
acreditava           | 1              | [8]                            
acreditou            | 1              | [37]                           
acrescenta           | 1              | [2]                            
acrescentado         | 1              | [33]                           
acrescentando        | 1              | [19]                           
acrescentar          | 1              | [37]                           
acrescentava         | 1              | [37]                           
acrescente-se        | 1              | [28]                           
acrescentou          | 2              | [6, 37]                        
acresceram           | 1              | [37]                           
acrescia             | 1              | [37]                           
acrescimo            | 1              | [3]                            
acrisolado           | 1              | [37]                           
acrisolasse          | 1              | [37]                           
activa               | 1              | [2]                            
activamente          | 1              | [34]                           
actividade           | 7              | [1, 10, 13, 14, 21, 30, 35]    
actividades          | 3              | [16, 32, 33]                   
activo               | 1              | [2]                            
activos              | 4              | [1, 2, 13, 35]                 
acto                 | 3              | [7, 8, 18]                     
actor                | 1              | [26]                           
actores              | 2              | [21, 26]                       
actos                | 2              | [8, 14]                        
actriz               | 2              | [26, 29]                       
actrizes             | 1              | [26]                           
actuacao             | 2              | [19, 36]                       
actuais              | 1              | [9]                            
actual               | 4              | [19, 20, 34, 35]               
actualidade          | 1              | [2]                            
actualizado          | 1              | [33]                           
actualmente          | 1              | [36]                           
actuar               | 1              | [23]                           
actuara              | 1              | [33]                           
actuariam            | 1              | [2]                            
actuava              | 1              | [2]                            
acucar               | 2              | [2, 15]                        
acudia               | 1              | [37]                           
acudiam              | 1              | [37]                           
acudiu               | 1              | [37]                           
acumulacao           | 1              | [19]                           
acumular             | 1              | [37]                           
acusa                | 1              | [37]                           
acusacao             | 3              | [5, 8, 37]                     
acusacoes            | 3              | [1, 8, 13]                     
acusadas             | 1              | [2]                            
acusado              | 1              | [8]                            
acusador             | 1              | [37]                           
acusados             | 1              | [8]                            
acusam               | 1              | [2]                            
acusar               | 1              | [37]                           
adepto               | 3              | [17, 31, 32]                   
adeptos              | 2              | [17, 31]                       
adequadas            | 1              | [2]                            
adequado             | 1              | [2]                            
adequados            | 1              | [33]                           
aderentes            | 1              | [16]                           
aderir               | 4              | [2, 16, 19, 36]                
adesao               | 3              | [2, 3, 16]                     
adesoes              | 1              | [16]                           
adiamento            | 1              | [4]                            
adianta              | 2              | [2, 30]                        
adiantaram           | 1              | [37]                           
adiantava            | 1              | [37]                           
adiante              | 1              | [37]                           
adiantou             | 1              | [16]                           
adicionalmente       | 1              | [33]                           
adiou-se             | 1              | [37]                           
adivinha             | 1              | [37]                           
adivinhando          | 1              | [37]                           
adivinhar            | 1              | [37]                           
adivinharem          | 1              | [2]                            
adivinhava           | 1              | [2]                            
adivinhava-lhe       | 1              | [37]                           
adivinhou-o          | 1              | [37]                           
adjunto              | 1              | [18]                           
administracao        | 9              | [1, 13, 16, 17, 18, 31, 32, 33, 34] 
administrador        | 2              | [30, 33]                       
admira               | 2              | [32, 37]                       
admiracao            | 1              | [37]                           
admirada             | 1              | [37]                           
admirava             | 1              | [2]                            
admiravam-lhe        | 1              | [37]                           
admiravel            | 1              | [27]                           
admiro-me            | 1              | [37]                           
admissao             | 2              | [4, 20]                        
admite               | 4              | [2, 26, 30, 37]                
admitem              | 1              | [3]                            
admitidas            | 1              | [33]                           
admitido             | 1              | [3]                            
admitidos            | 1              | [4]                            
admitindo            | 4              | [1, 13, 19, 35]                
admitir              | 1              | [35]                           
admitiu              | 1              | [37]                           
admito               | 1              | [37]                           
admoestado           | 2              | [17, 31]                       
admoestando-a        | 1              | [37]                           
admoestando-os       | 1              | [37]                           
admoestracao         | 1              | [37]                           
adocar               | 1              | [37]                           
adocara              | 1              | [37]                           
adocicado            | 1              | [23]                           
adoentado            | 1              | [37]                           
adolescente          | 1              | [22]                           
adopta               | 1              | [2]                            
adoptado             | 1              | [34]                           
adorar               | 1              | [37]                           
adormecam            | 1              | [37]                           
adormece             | 1              | [37]                           
adornava             | 1              | [37]                           
adornei-lhe          | 1              | [37]                           
adornos              | 1              | [37]                           
adquirem             | 1              | [2]                            
adquirido            | 1              | [29]                           
adro                 | 1              | [37]                           
adulteros            | 1              | [37]                           
adultos              | 1              | [20]                           
aduzi-las            | 1              | [37]                           
adversarios          | 1              | [37]                           
adversas             | 1              | [2]                            
advertencia          | 1              | [37]                           
advertido            | 1              | [37]                           
advogado             | 3              | [2, 8, 37]                     
advogados            | 1              | [8]                            
aep                  | 1              | [32]                           
aereo                | 1              | [2]                            
aeroporto            | 2              | [16, 18]                       
afagos               | 1              | [37]                           
afastando-as         | 1              | [37]                           
afastando-se         | 1              | [37]                           
afastaram            | 1              | [18]                           
afastem-se           | 1              | [37]                           
afastou              | 2              | [18, 37]                       
afectados            | 1              | [18]                           
afectas              | 1              | [16]                           
afectos              | 1              | [33]                           
afectou              | 1              | [18]                           
afeicao              | 1              | [37]                           
afeicoes             | 1              | [37]                           
afeita               | 1              | [37]                           
afeitas              | 1              | [37]                           
afeito               | 1              | [37]                           
aferrar              | 1              | [37]                           
aferrava             | 1              | [37]                           
aferro               | 1              | [37]                           
afervora             | 1              | [37]                           
afervorou-lhe        | 1              | [37]                           
afeto                | 1              | [37]                           
afetos               | 1              | [37]                           
afetuoso             | 1              | [37]                           
affair               | 1              | [25]                           
afianca              | 1              | [2]                            
afigurava            | 1              | [37]                           
afiliada             | 1              | [33]                           
afinal               | 2              | [2, 37]                        
afirma               | 8              | [1, 2, 3, 7, 13, 19, 30, 35]   
afirmacao            | 1              | [35]                           
afirmado             | 2              | [2, 35]                        
afirmando            | 1              | [19]                           
afirmar              | 1              | [2]                            
afirmaram            | 1              | [16]                           
afirmativamente      | 2              | [14, 37]                       
afirmativo           | 1              | [37]                           
afirmo               | 1              | [37]                           
afirmou              | 3              | [16, 35, 37]                   
afiveladas           | 1              | [37]                           
afixadas             | 1              | [4]                            
aflicao              | 1              | [37]                           
aflicoes             | 1              | [37]                           
aflige               | 1              | [37]                           
afligida             | 1              | [37]                           
afligir              | 1              | [37]                           
aflija               | 1              | [37]                           
aflita               | 1              | [37]                           
aflitiva             | 1              | [37]                           
aflitivas            | 1              | [37]                           
aflito               | 2              | [2, 37]                        
afocinhava           | 1              | [37]                           
afogado              | 1              | [37]                           
afogar-te            | 1              | [37]                           
afogava-se           | 1              | [37]                           
afogueava            | 1              | [37]                           
afoiteza             | 1              | [37]                           
afoitezas            | 1              | [37]                           
afoitou-se           | 1              | [37]                           
afora                | 1              | [37]                           
aforismos            | 1              | [37]                           
afp                  | 1              | [9]                            
africa               | 2              | [9, 37]                        
africano             | 2              | [12, 15]                       
afro-brasileiro      | 1              | [29]                           
afronta              | 2              | [34, 37]                       
afrontara            | 1              | [37]                           
afrontarem-no        | 1              | [37]                           
afrontosa            | 1              | [37]                           
afrontosas           | 1              | [37]                           
afugentavam          | 1              | [37]                           
afunda               | 1              | [19]                           
afundamento          | 1              | [19]                           
afundar              | 1              | [19]                           
afundar-se           | 1              | [19]                           
agachada             | 1              | [37]                           
agentes              | 2              | [18, 35]                       
agfa                 | 1              | [2]                            
agiganta-se          | 1              | [2]                            
agigantar            | 1              | [19]                           
agilidade            | 2              | [2, 37]                        
agitacao             | 1              | [27]                           
agitada              | 2              | [27, 37]                       
agitar-se            | 1              | [37]                           
agitava              | 1              | [37]                           
agnosticos           | 1              | [14]                           
agonia               | 1              | [37]                           
agonias              | 1              | [37]                           
agonizando           | 1              | [37]                           
agonizante           | 1              | [37]                           
agonizava            | 1              | [37]                           
agostinho            | 1              | [2]                            
agosto               | 2              | [8, 37]                        
agraco               | 1              | [16]                           
agrada-lhe           | 1              | [32]                           
agradasse            | 1              | [2]                            
agradavel            | 1              | [37]                           
agradecer            | 1              | [37]                           
agradecer-lhe        | 1              | [37]                           
agradecera           | 1              | [37]                           
agradeceria          | 1              | [37]                           
agradeceu            | 2              | [8, 37]                        
agradecida           | 1              | [37]                           
agradecido           | 1              | [37]                           
agradeco             | 1              | [37]                           
agrado               | 1              | [37]                           
agraria              | 1              | [2]                            
agravaria            | 1              | [37]                           
agredido             | 1              | [8]                            
agredira             | 1              | [8]                            
agregado             | 1              | [33]                           
agregados            | 1              | [6]                            
agressao             | 1              | [8]                            
agressor             | 1              | [8]                            
agricola             | 1              | [2]                            
agricolas            | 1              | [2]                            
agua                 | 2              | [2, 37]                        
aguadeiros           | 1              | [37]                           
aguas                | 2              | [2, 33]                        
aguazil              | 1              | [37]                           
agudissima           | 1              | [37]                           
agudo                | 1              | [37]                           
agueiro              | 1              | [37]                           
aguentar             | 1              | [15]                           
aguou                | 1              | [37]                           
ai                   | 1              | [37]                           
aia                  | 1              | [37]                           
aids                 | 1              | [15]                           
aip                  | 3              | [1, 13, 32]                    
aire                 | 1              | [28]                           
ais                  | 1              | [37]                           
ajoelhada            | 1              | [37]                           
ajoelhado            | 1              | [37]                           
ajoelhou             | 1              | [37]                           
ajuda                | 2              | [33, 37]                       
ajudala              | 1              | [37]                           
ajudam               | 1              | [2]                            
ajudando             | 1              | [2]                            
ajudar               | 4              | [4, 8, 20, 25]                 
ajuizadamente        | 1              | [37]                           
ajuizar              | 1              | [37]                           
ajunta               | 1              | [37]                           
ajuntamento          | 1              | [37]                           
ajuntando            | 1              | [37]                           
ajuntar              | 1              | [37]                           
ajuntaram-se         | 1              | [37]                           
ajuntava             | 1              | [37]                           
ajuntou              | 1              | [37]                           
ajuntou-o            | 1              | [37]                           
ajustamento          | 1              | [35]                           
ajustando            | 1              | [37]                           
ajustarem-se         | 1              | [37]                           
ajustou              | 1              | [37]                           
alada                | 1              | [37]                           
alambique            | 1              | [37]                           
alameda              | 1              | [37]                           
alan                 | 1              | [8]                            
alanceado            | 1              | [37]                           
alargadas            | 1              | [36]                           
alargado             | 2              | [8, 33]                        
alargava             | 1              | [37]                           
alastra              | 1              | [2]                            
albardao             | 1              | [37]                           
alberto              | 1              | [16]                           
albuquerque          | 1              | [37]                           
albuquerques         | 1              | [37]                           
alcancadissimo       | 1              | [37]                           
alcancado            | 2              | [30, 37]                       
alcancar             | 1              | [37]                           
alcancou             | 1              | [37]                           
alcatifas            | 1              | [37]                           
alcatruzes           | 1              | [37]                           
alcobaca             | 1              | [37]                           
alcova               | 1              | [37]                           
alcunha              | 1              | [7]                            
aldeia               | 2              | [15, 37]                       
alegam               | 1              | [4]                            
alegando             | 2              | [2, 26]                        
alegrava             | 1              | [37]                           
alegrava-se          | 1              | [37]                           
alegre               | 3              | [11, 30, 37]                   
alegrem              | 1              | [37]                           
alegria              | 1              | [37]                           
alegrias             | 1              | [37]                           
alegrou              | 1              | [37]                           
aleijado             | 1              | [37]                           
aleijou              | 1              | [37]                           
aleive               | 1              | [37]                           
alema                | 1              | [2]                            
alemao               | 1              | [29]                           
alentejana           | 1              | [18]                           
alentejo             | 3              | [2, 18, 32]                    
alento               | 1              | [37]                           
alentos              | 1              | [37]                           
alerta               | 2              | [20, 35]                       
alertam              | 1              | [20]                           
alertou              | 1              | [35]                           
alessandro           | 1              | [28]                           
alexander            | 1              | [2]                            
alexandre            | 2              | [16, 22]                       
alfaite              | 1              | [32]                           
alfandegas           | 1              | [16]                           
alfares              | 1              | [37]                           
alferes              | 1              | [37]                           
alfredo              | 1              | [2]                            
algarve              | 1              | [18]                           
algibeiras           | 1              | [37]                           
algoz                | 1              | [37]                           
algozes              | 1              | [37]                           
algum                | 10             | [1, 2, 7, 11, 13, 17, 21, 31, 32, 37] 
alheado              | 1              | [37]                           
alheia               | 1              | [37]                           
aliadas              | 1              | [37]                           
aliados              | 1              | [2]                            
alianca              | 1              | [2]                            
aliancados           | 1              | [37]                           
aliando              | 1              | [37]                           
aliar                | 1              | [21]                           
alias                | 9              | [1, 4, 7, 11, 13, 17, 28, 31, 35] 
alicerces            | 1              | [37]                           
alienada             | 1              | [37]                           
aligeirar            | 1              | [37]                           
aligeiravam          | 1              | [37]                           
alimentacao          | 1              | [2]                            
alimentam            | 1              | [15]                           
alimentando-se       | 1              | [37]                           
alimentar            | 2              | [2, 37]                        
alimentares          | 1              | [33]                           
alimentava           | 1              | [37]                           
alimente             | 1              | [37]                           
alimentei-o          | 1              | [37]                           
alimentos            | 1              | [37]                           
aliviar              | 1              | [25]                           
alivio               | 3              | [2, 35, 37]                    
alivios              | 1              | [37]                           
alma                 | 2              | [2, 37]                        
almacave             | 1              | [37]                           
almada               | 1              | [2]                            
almas                | 1              | [37]                           
almeida              | 1              | [2]                            
almejano             | 1              | [28]                           
almejava             | 1              | [37]                           
almirante            | 1              | [2]                            
almocar              | 1              | [37]                           
almoce               | 1              | [37]                           
almoco               | 2              | [2, 37]                        
almocreve            | 1              | [37]                           
almofadas            | 1              | [37]                           
almude               | 1              | [37]                           
almudena             | 1              | [37]                           
alojado              | 1              | [37]                           
alojar               | 1              | [7]                            
alojou-o             | 1              | [37]                           
